attack,scenario,mean,std
alie,bulyan,0.5654533535916973,0.03668993524149181
alie,fedavg_attack,0.5874114906223807,0.028585644539861465
alie,fedmedian,0.5763190697553596,0.03406986584687139
alie,foolsgold,0.5822829963987742,0.02727848074485086
alie,full_system,0.5944322383340278,0.025548406949322786
alie,full_system_neuro,0.5942552297217997,0.024382291776715616
alie,krum,0.5534562591696914,0.04764575424663756
ipm,bulyan,0.47751512101994503,0.06452665284703271
ipm,fedavg_attack,0.5801880423775231,0.027353068933672488
ipm,fedmedian,0.5298420024119973,0.07369339172609277
ipm,foolsgold,0.5880333052303829,0.028354915430818674
ipm,full_system,0.5887220722310492,0.02244525145342259
ipm,full_system_neuro,0.5939576191430986,0.024777915189560188
ipm,krum,0.3773872965835574,0.09367683081095084
min_max,bulyan,0.5163253591675604,0.048961827478703576
min_max,fedavg_attack,0.5554935338455044,0.0331175098279333
min_max,fedmedian,0.5342158716267597,0.04361110059478326
min_max,foolsgold,0.5875430537449153,0.02761462819346812
min_max,full_system,0.5523513821156018,0.04166478540061475
min_max,full_system_neuro,0.6014487465083785,0.019750500805354128
min_max,krum,0.4991422285796128,0.041156305413349845
min_sum,bulyan,0.5154938659489309,0.04127245646575241
min_sum,fedavg_attack,0.5570045551838634,0.04043848642787005
min_sum,fedmedian,0.5369711475566207,0.04236507010900015
min_sum,foolsgold,0.5874014517476762,0.026493376742318733
min_sum,full_system,0.562122136616745,0.031279340935754976
min_sum,full_system_neuro,0.5954637731169593,0.028206106600733298
min_sum,krum,0.497917966778678,0.05271649575200909
sign_flip,bulyan,0.5172668886620533,0.058505750683470345
sign_flip,fedavg_attack,0.5080299202628575,0.03676936114184154
sign_flip,fedmedian,0.5272644832483663,0.04498700869114918
sign_flip,foolsgold,0.49501380205066686,0.10649721936684488
sign_flip,full_system,0.5909370203550156,0.023462658281717882
sign_flip,full_system_neuro,0.5927067657202908,0.026387493260561477
sign_flip,krum,0.4998461084658888,0.10258150349044416
