variant,controller,round_idx,val_macro_f1,tau_next,signal,trust_delta,alpha_next
adaptive,tau,0,0.09466794666743487,0.2,warmup,,
adaptive,tau,1,0.12209337675459325,0.2,warmup,,
adaptive,tau,2,0.13626467437248713,0.2,warmup,,
adaptive,tau,3,0.1528889167157147,0.2,warmup,,
adaptive,tau,4,0.14953943715928275,0.2,warmup,,
adaptive,tau,5,0.14788987308874865,0.18000000000000002,relax,,
adaptive,tau,6,0.18795159622025387,0.16000000000000003,relax,,
adaptive,tau,7,0.2623607777464083,0.14000000000000004,relax,,
adaptive,tau,8,0.2816044921032128,0.12000000000000004,relax,,
adaptive,tau,9,0.29884241492545255,0.10000000000000003,relax,,
adaptive,tau,10,0.33395398696640816,0.1,relax,,
adaptive,tau,11,0.3342943897090394,0.1,relax,,
adaptive,tau,12,0.29493446467789675,0.1,relax,,
adaptive,tau,13,0.2876687967321748,0.1,hold,,
adaptive,tau,14,0.2945771653208132,0.15000000000000002,tighten,,
adaptive,tau,15,0.23918480464896005,0.2,tighten,,
adaptive,tau,16,0.22449885178768983,0.25,tighten,,
adaptive,tau,17,0.2255608028428194,0.3,tighten,,
adaptive,tau,18,0.223178006335975,0.35,tighten,,
adaptive,tau,19,0.18380698358008554,0.39999999999999997,tighten,,
adaptive,tau,20,0.2194949926627519,0.44999999999999996,tighten,,
adaptive,tau,21,0.221402745390247,0.44999999999999996,hold,,
adaptive,tau,22,0.21947851265229068,0.44999999999999996,hold,,
adaptive,tau,23,0.2133658222394726,0.44999999999999996,hold,,
adaptive,tau,24,0.2098853510869435,0.44999999999999996,hold,,
adaptive,tau,25,0.20693841756138137,0.44999999999999996,hold,,
adaptive,tau,26,0.2739608237524793,0.44999999999999996,hold,,
adaptive,tau,27,0.2811065218081086,0.42999999999999994,relax,,
adaptive,tau,28,0.28513427336003694,0.4099999999999999,relax,,
adaptive,tau,29,0.2906868643873743,0.3899999999999999,relax,,
adaptive,alpha,0,,,warmup,,0.2
adaptive,alpha,1,,,smooth,0.0024047225938658213,0.2
adaptive,alpha,2,,,smooth,0.0015747790084371187,0.2
adaptive,alpha,3,,,smooth,0.003954055489195213,0.2
adaptive,alpha,4,,,smooth,0.0018955579767911096,0.2
adaptive,alpha,5,,,smooth,0.001180719597232202,0.2
adaptive,alpha,6,,,smooth,0.0010155882466055476,0.2
adaptive,alpha,7,,,smooth,0.00023603458087043393,0.2
adaptive,alpha,8,,,smooth,0.0016757741530000314,0.2
adaptive,alpha,9,,,smooth,0.00018882461926875705,0.2
adaptive,alpha,10,,,mixed,0.07997721114190705,0.2999240371396901
adaptive,alpha,11,,,smooth,0.008312898272496923,0.2
adaptive,alpha,12,,,smooth,0.010322871475992267,0.2
adaptive,alpha,13,,,smooth,0.012822475798623703,0.2
adaptive,alpha,14,,,smooth,0.016043352488323764,0.2
adaptive,alpha,15,,,smooth,0.011565756117515433,0.2
adaptive,alpha,16,,,smooth,0.009133213458962808,0.2
adaptive,alpha,17,,,smooth,0.011710897295648087,0.2
adaptive,alpha,18,,,smooth,0.01754904028862552,0.2
adaptive,alpha,19,,,smooth,0.010712190526679622,0.2
adaptive,alpha,20,,,mixed,0.09170192996646986,0.3390064332215662
adaptive,alpha,21,,,smooth,0.02439202991064543,0.2
adaptive,alpha,22,,,smooth,0.014146690933583988,0.2
adaptive,alpha,23,,,smooth,0.022626858431920045,0.2
adaptive,alpha,24,,,smooth,0.030723959764428137,0.2
adaptive,alpha,25,,,smooth,0.016472440564760493,0.2
adaptive,alpha,26,,,smooth,0.012681142366554172,0.2
adaptive,alpha,27,,,smooth,0.018176918107041896,0.2
adaptive,alpha,28,,,smooth,0.00973008042286964,0.2
adaptive,alpha,29,,,smooth,0.0074365012805203525,0.2
