seed,client_id,n_samples,count[Benign],count[BruteForce],count[DDoS],count[DoS],count[Mirai],count[Recon],count[Spoofing],count[Web]
42,0,17400,3017,0,3449,210,6590,3,4110,21
42,1,10838,937,47,455,3041,3,382,5945,28
42,2,26950,215,135,1706,5395,6928,12451,32,88
42,3,15290,11623,126,2016,695,774,10,44,2
42,4,55738,4838,54,10115,17650,6602,13090,3371,18
42,5,10488,129,0,139,3307,5383,432,788,310
42,6,13190,4118,33,6122,62,2197,74,73,511
42,7,8716,8,45,7546,71,449,5,549,43
42,8,12775,3042,0,514,3889,3181,890,1256,3
42,9,18828,7073,103,2938,680,2893,1625,3479,37
