scenario,seed,test_loss,test_accuracy,test_macro_f1,test_weighted_f1
centralized,42,0.45544380885585334,0.80370942812983,0.6380691670374061,0.7996106562559839
centralized,123,0.4635790033635955,0.7979195799906773,0.633842168696968,0.7946717719731895
centralized,2024,0.4593493932655353,0.7966683839945046,0.6316445883252371,0.793526349203449
centralized,7,0.46863535749576224,0.7946075905890434,0.6308020664329621,0.7908303282555513
centralized,2025,0.4534904966819731,0.8034640955815608,0.6347288075739622,0.7987297979714034
fedavg,42,0.5261224591490161,0.7632540909202424,0.5962366131618266,0.7545509880130001
fedavg_attack,42,0.8999921018612116,0.6912980545128923,0.5272832273893642,0.6568449999686634
fedprox,42,0.9342515164498348,0.6774367655356837,0.5052745975485308,0.634694408290652
fedmedian,42,0.6887128298429028,0.7300115306297686,0.5738350748637007,0.7120632767692255
trimmed_mean,42,0.7873994271317291,0.7222344888496357,0.5650250818241125,0.7034603610670243
krum,42,0.6859557001891552,0.7268467407570962,0.5711993484374567,0.7125526887194867
bulyan,42,0.7805672376015064,0.6969161698682564,0.544512597812834,0.6732190097914084
foolsgold,42,0.6452330801760184,0.7429405559235543,0.5832545188089622,0.7312227818660205
fedavg_he,42,0.9123517516983529,0.6897033929491425,0.5251090746954906,0.6516223879065527
fedavg_he_fuzzy,42,0.5209431542384169,0.7821201638821422,0.6176549304635724,0.7747079892778928
full_system,42,0.5165932834249305,0.7760359166850667,0.6127236224648608,0.7678598137637858
full_system_neuro,42,0.49342721699644726,0.7859228183803145,0.6204619841756085,0.7794798203275909
fedavg,123,0.4954126916325118,0.7839356247393342,0.6061671267536709,0.7768257847649869
fedavg_attack,123,0.7098395020813016,0.7071465371310812,0.46563180743550564,0.6644732269894591
fedprox,123,0.7212136904234823,0.7044478791001202,0.4631097296654733,0.6607700978582446
fedmedian,123,0.6125812780862643,0.7414440273791124,0.5239094646195505,0.7201159253581408
trimmed_mean,123,0.6324900682843857,0.7350163146144599,0.5117964864918478,0.7089668814648877
krum,123,0.588934436829073,0.7575133092907436,0.5460505071445664,0.7404361269770487
bulyan,123,0.6133046691958919,0.7643580873874537,0.5571807164893827,0.750277781417212
foolsgold,123,2.726313223323727,0.6142391011015431,0.37671905683646273,0.5384282924809697
fedavg_he,123,0.7084697471546216,0.7089374647334462,0.46700486895063476,0.6664284782343626
fedavg_he_fuzzy,123,0.5426851299114905,0.766075415225338,0.5512769230486383,0.7516691749993258
full_system,123,0.516722553193559,0.7771644464071048,0.5660972390980803,0.7658766852144621
full_system_neuro,123,0.5140442342251171,0.7780721768357008,0.5679417469316128,0.7675039020536791
fedavg,2024,0.5057865815805952,0.7772871126812394,0.5990397364899519,0.7712408403536963
fedavg_attack,2024,0.7610230741011629,0.6945855106596992,0.5311747259637027,0.6495695721393983
fedprox,2024,0.7691853811198013,0.6857290056671819,0.5168458805510394,0.6367456095810247
