scenario,test_loss_mean,test_loss_std,test_loss_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_weighted_f1_mean,test_weighted_f1_std,test_weighted_f1_count,test_loss,test_accuracy,test_macro_f1,test_weighted_f1
bulyan,0.7758670602397302,0.20308339992299723,5,0.6935894605137264,0.04258196622508337,5,0.5122897503944686,0.04193240792411744,5,0.6475577436273213,0.0664017060196148,5,0.7758670602397302,0.6935894605137264,0.5122897503944686,0.6475577436273213
centralized,0.4600996119325439,0.006141759759691309,5,0.7992738156571233,0.004111842306922888,5,0.6338173596133071,0.002860163775071908,5,0.7954737807319154,0.0036644489992654562,5,0.4600996119325439,0.7992738156571233,0.6338173596133071,0.7954737807319154
fedavg,0.509106005379012,0.011418056294294175,5,0.7727828070950172,0.00797297944380637,5,0.6026836496187251,0.004752855487203245,5,0.7659018330779356,0.008497805103769207,5,0.509106005379012,0.7727828070950172,0.6026836496187251,0.7659018330779356
fedavg_attack,0.8778603484119893,0.1726414183392477,5,0.6736144844336498,0.03350044198816699,5,0.4863401025113441,0.039527757567413446,5,0.6208368899116427,0.04987256232775419,5,0.8778603484119893,0.6736144844336498,0.4863401025113441,0.6208368899116427
fedavg_he,0.8694659643495392,0.15319737787867066,5,0.6736684575942691,0.03357292605769905,5,0.4865882806818586,0.038198853942577646,5,0.6202017035231208,0.049089486353603155,5,0.8694659643495392,0.6736684575942691,0.4865882806818586,0.6202017035231208
fedavg_he_fuzzy,0.5404484038398473,0.016988962950958197,5,0.7516547680380756,0.028423966895828573,5,0.5769650615403928,0.032544749072067544,5,0.7355453632853486,0.038226850502469246,5,0.5404484038398473,0.7516547680380756,0.5769650615403928,0.7355453632853486
fedmedian,0.7729248070833257,0.1441926883732464,5,0.6914796005986114,0.0412507314748548,5,0.5089984368196638,0.04170233974620517,5,0.6454897491707366,0.06624794519085514,5,0.7729248070833257,0.6914796005986114,0.5089984368196638,0.6454897491707366
fedprox,0.9513924559738284,0.2936441763268154,5,0.6650180319422978,0.035134757670826494,5,0.47449573449659077,0.038414448877333016,5,0.6084943329484742,0.0509470923118155,5,0.9513924559738284,0.6650180319422978,0.47449573449659077,0.6084943329484742
foolsgold,1.140351438635813,0.896932152902597,5,0.6905228036603617,0.04956465439961062,5,0.4999292534447882,0.07563058247413403,5,0.6412973247145176,0.07257798174577862,5,1.140351438635813,0.6905228036603617,0.4999292534447882,0.6412973247145176
full_system,0.5186842359331012,0.007384831294732144,5,0.7734402983243787,0.005741892857425118,5,0.5963921203352579,0.018208690758338888,5,0.7649384267847464,0.007425351631305207,5,0.5186842359331012,0.7734402983243787,0.5963921203352579,0.7649384267847464
full_system_neuro,0.5155920916873378,0.016273368366209153,5,0.7671156252299992,0.02183123079446847,5,0.5932852995126181,0.023706406892396805,5,0.7567835719167098,0.02500346924503376,5,0.5155920916873378,0.7671156252299992,0.5932852995126181,0.7567835719167098
krum,0.8403947336014358,0.3425446522167165,5,0.6931086087191187,0.05415173326928826,5,0.5045282711573734,0.07344834492080925,5,0.6473007614891667,0.08328777135870306,5,0.8403947336014358,0.6931086087191187,0.5045282711573734,0.6473007614891667
trimmed_mean,0.7967653319785419,0.14254554126339314,5,0.6893157675228773,0.03789167124903381,5,0.5066010890374335,0.03802483391453381,5,0.6436845456047063,0.060390232610017185,5,0.7967653319785419,0.6893157675228773,0.5066010890374335,0.6436845456047063
