reference,vs_scenario,metric,n_seeds,ref_mean,other_mean,mean_diff,wins,wilcoxon_p,ttest_p,cohens_d
full_system_neuro,fedprox,test_macro_f1,5,0.5933,0.4745,0.1188,5,0.0625,0.0013,3.602
full_system_neuro,fedavg_attack,test_macro_f1,5,0.5933,0.4863,0.1069,5,0.0625,0.0029,2.908
full_system_neuro,fedavg_he,test_macro_f1,5,0.5933,0.4866,0.1067,5,0.0625,0.0028,2.93
full_system_neuro,foolsgold,test_macro_f1,5,0.5933,0.4999,0.0934,5,0.0625,0.0263,1.538
full_system_neuro,krum,test_macro_f1,5,0.5933,0.5045,0.0888,5,0.0625,0.0573,1.183
full_system_neuro,trimmed_mean,test_macro_f1,5,0.5933,0.5066,0.0867,5,0.0625,0.0085,2.159
full_system_neuro,fedmedian,test_macro_f1,5,0.5933,0.509,0.0843,5,0.0625,0.0122,1.943
full_system_neuro,bulyan,test_macro_f1,5,0.5933,0.5123,0.081,5,0.0625,0.0199,1.679
full_system_neuro,fedavg_he_fuzzy,test_macro_f1,5,0.5933,0.577,0.0163,5,0.0625,0.0454,1.284
full_system_neuro,full_system,test_macro_f1,5,0.5933,0.5964,-0.0031,3,1.0,0.7076,-0.18
full_system_neuro,fedavg,test_macro_f1,5,0.5933,0.6027,-0.0094,2,0.625,0.4788,-0.349
full_system_neuro,centralized,test_macro_f1,5,0.5933,0.6338,-0.0405,0,0.0625,0.0139,-1.871
